dominant_topic_number,dominant_topic_label,associated_topic_number,associated_topic_label,same_topic,dominant_comment_count,mean_relative_weight,median_relative_weight,q75_relative_weight,q90_relative_weight
1,Situated household retrofit experience and building context,1,Situated household retrofit experience and building context,True,5105,0.4776723277581098,0.4319432862958904,0.5806910845990306,0.7776056134635445
1,Situated household retrofit experience and building context,2,Spray foam and foam insulation,False,5105,0.014698594992600764,0.0,0.016944943231351497,0.04682652612654711
1,Situated household retrofit experience and building context,3,Clarification and specification questions,False,5105,0.020594158901211232,0.0,0.019329672952646124,0.05879000581172882
1,Situated household retrofit experience and building context,4,"Implementation, cost and how-to questions",False,5105,0.017120770728923207,0.0,0.01193340150237015,0.05145494795940538
1,Situated household retrofit experience and building context,5,Heat pumps and heating systems,False,5105,0.04213094180419407,0.0,0.04798948748989279,0.1662190565131334
1,Situated household retrofit experience and building context,6,"Praise, gratitude and social endorsement",False,5105,0.047359004510724355,0.0,0.061061721479878955,0.17029457582014132
1,Situated household retrofit experience and building context,7,"Alternative methods, challenges and ""why"" questions",False,5105,0.037692758766076695,0.0,0.046142335565051006,0.1538775113836659
1,Situated household retrofit experience and building context,8,"Solar PV, batteries and power systems",False,5105,0.05118802664225484,0.0,0.07553124618910506,0.18092344026789386
1,Situated household retrofit experience and building context,9,Performance checking and troubleshooting,False,5105,0.042498330063338016,0.0,0.05399955542051282,0.17608179195812243
1,Situated household retrofit experience and building context,10,"Implementation follow-up, outcomes and retrospective questions",False,5105,0.021219871714999113,0.0,0.027495769272322806,0.0662227289029423
1,Situated household retrofit experience and building context,11,"Product sourcing, access and location questions",False,5105,0.016947821435411008,0.0,0.014357912404067552,0.04733484317084875
1,Situated household retrofit experience and building context,12,Roof and attic ventilation and airflow,False,5105,0.055508254412568625,0.0,0.08704035979546053,0.19435885376839593
1,Situated household retrofit experience and building context,13,"Wall, cavity and floor insulation",False,5105,0.0448205512818061,0.0,0.06264182119368471,0.16025037117922872
1,Situated household retrofit experience and building context,14,Thermostat wiring and smart heating controls,False,5105,0.03644992167224811,0.0,0.04684314811916009,0.1287558873676387
1,Situated household retrofit experience and building context,15,Vapour barriers and moisture control,False,5105,0.03288383243859305,0.0,0.0438410161453935,0.11893440606191293
1,Situated household retrofit experience and building context,16,"Prospective choices, recommendations and alternatives",False,5105,0.041214832876940964,0.0,0.04684519920394245,0.15387600253300646
2,Spray foam and foam insulation,1,Situated household retrofit experience and building context,False,1636,0.06871867407493276,0.0479156172178396,0.10593942633125436,0.1730297950098052
2,Spray foam and foam insulation,2,Spray foam and foam insulation,True,1636,0.5769375840229701,0.5482989829758171,0.7266574088501176,0.9038283023147791
2,Spray foam and foam insulation,3,Clarification and specification questions,False,1636,0.017499776552021527,0.0,0.0062931006088442045,0.028843847671725813
2,Spray foam and foam insulation,4,"Implementation, cost and how-to questions",False,1636,0.01128509350799679,0.0,0.001748153768575048,0.013882078306711374
2,Spray foam and foam insulation,5,Heat pumps and heating systems,False,1636,0.010421853964373406,0.0,9.074133161907506e-05,0.02452554111394461
2,Spray foam and foam insulation,6,"Praise, gratitude and social endorsement",False,1636,0.02271474295330464,0.0,0.005896462790815621,0.07205095217444427
2,Spray foam and foam insulation,7,"Alternative methods, challenges and ""why"" questions",False,1636,0.02458166436601449,0.0,0.02939406445103853,0.07790214912510035
2,Spray foam and foam insulation,8,"Solar PV, batteries and power systems",False,1636,0.01368611350355669,0.0,0.01542339372969208,0.04390677949179222
2,Spray foam and foam insulation,9,Performance checking and troubleshooting,False,1636,0.02704078483250149,0.0,0.028630817038243772,0.0912626345598836
2,Spray foam and foam insulation,10,"Implementation follow-up, outcomes and retrospective questions",False,1636,0.017960350807069248,0.0,0.012820439126771816,0.03479298454611658
2,Spray foam and foam insulation,11,"Product sourcing, access and location questions",False,1636,0.009955772174113508,0.0,0.0027799968440475158,0.011912008016844208
2,Spray foam and foam insulation,12,Roof and attic ventilation and airflow,False,1636,0.05379787440044836,0.0,0.07734687007205804,0.19950176588462332
2,Spray foam and foam insulation,13,"Wall, cavity and floor insulation",False,1636,0.06633468274847824,0.013223919523919457,0.1152942229603031,0.20656122019167883
2,Spray foam and foam insulation,14,Thermostat wiring and smart heating controls,False,1636,0.008253439483424389,0.0,0.006069341025510949,0.02630791715635747
2,Spray foam and foam insulation,15,Vapour barriers and moisture control,False,1636,0.03303370893864997,0.0,0.03930416805472317,0.10229498220121735
2,Spray foam and foam insulation,16,"Prospective choices, recommendations and alternatives",False,1636,0.037777883670144424,0.0,0.033308924416116284,0.14593710285183686
3,Clarification and specification questions,1,Situated household retrofit experience and building context,False,2806,0.080479281437553,0.05586966004731343,0.1321598356648902,0.20384131229801977
3,Clarification and specification questions,2,Spray foam and foam insulation,False,2806,0.01109595786890949,0.0,0.0044542555541220935,0.01924348568836745
3,Clarification and specification questions,3,Clarification and specification questions,True,2806,0.5848965716572934,0.5502470344942825,0.7646738714130225,0.9208794581637965
