candidate_topic_count,reference_topic_number,reference_top_10_terms,reference_dominant_share,mean_cosine_similarity,median_cosine_similarity,minimum_cosine_similarity,standard_deviation_cosine,mean_top_20_jaccard,minimum_top_20_jaccard,mean_run_dominant_share,standard_deviation_run_share,mean_absolute_prevalence_difference,fraction_runs_cosine_at_least_0_90,fraction_runs_cosine_at_least_0_80,fraction_runs_cosine_at_least_0_70
12,1,not | would | house | like | just | good | when | never | years | more,0.17105294159225315,0.8093240904926702,0.963483764684645,0.15844131998874023,0.28614651314984996,0.5926500221402307,0.05263157894736842,0.15206750309241918,0.04328392082430837,0.02649172409730812,0.6,0.7,0.7
12,2,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,0.04349362674645996,0.9992098278957877,0.9992685229211637,0.9989286127034696,0.00016184671742923524,0.9151515151515153,0.8181818181818182,0.04241915532779643,0.0016313729148567798,0.0013185357109495443,1.0,1.0,1.0
12,3,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,0.0769267016940367,0.9991898941894908,0.9992103625961319,0.9987359330869741,0.0002566417582674064,0.8299642386598908,0.7391304347826086,0.07677151440183777,0.003425122329085086,0.0026716236164302035,1.0,1.0,1.0
12,4,how | how did | did | cost | how does | how long | know | how would | long | know how,0.06820912753575384,0.9941768386739149,0.9938769068644864,0.9876898460446917,0.0037147270859973257,0.814059853190288,0.6666666666666666,0.06752665370795782,0.0039195313199141425,0.0031572126995346667,1.0,1.0,1.0
12,5,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,0.07791626416605801,0.9821546639451328,0.9967115639218487,0.9196939302870764,0.03133628788105709,0.7580002206688864,0.3793103448275862,0.07306944689874537,0.010427506367346694,0.008220350082431136,1.0,1.0,1.0
12,6,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,0.09803736776382442,0.9981012015556867,0.998616347358557,0.9963695302186567,0.0010906321214833102,0.8105966497270846,0.6666666666666666,0.09770866466395711,0.0030796679002219225,0.0025608811041579445,1.0,1.0,1.0
12,7,why | not | why not | use | did | why would | why did | did not | not just | not use,0.05315364135428693,0.9815673110785559,0.9877192892990505,0.9533744943221225,0.016772574635971507,0.8131940523244872,0.6666666666666666,0.04691936148907345,0.0036673386010407836,0.006234279865213474,1.0,1.0,1.0
12,8,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,0.08562071484108098,0.8250942677354274,0.994440314554554,0.022971640994062577,0.3058059742543364,0.6968364968364968,0.02564102564102564,0.08933851681686988,0.0346136369689064,0.022578581325994367,0.6,0.6,0.9
12,9,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,0.08545578776241076,0.8870845421038442,0.9699500650040287,0.5553239528822511,0.15520966796948474,0.6794035594035595,0.3333333333333333,0.0920951876067621,0.03472031977246191,0.022604499132266566,0.7,0.7,0.9
12,10,where | did | where did | buy | where buy | did not | where does | how did | link | know where,0.03642532337487925,0.9303883780382168,0.9597042199689343,0.7839741873055349,0.07669303364766782,0.5709975171144587,0.3793103448275862,0.041052600577251575,0.006747247024679733,0.005554156448481475,0.8,0.9,1.0
